
=========Sun Apr 17 04:00:01 UTC 2011========
%CPU    SZ    VSZ - -  UTIME   PID USER     COMMAND
 0.1  3828  26908 - -      -  5157 condor   /usr/bin/SCREEN.real -c /home/condor/.screen-profiles/profile
 0.1     0      0 - -      -  1921 root     [rpciod/1]
 0.1     0      0 - -      -  1920 root     [rpciod/0]
 0.0  3552  37632 - -      -  2439 condor   condor_startd -f
 0.0  2824   6504 - -      -  1880 klog     /sbin/klogd -P /var/run/klogd/kmsg
 0.0  2140  35612 - -      -  2438 condor   condor_master
 0.0  2100  22100 - -      -  1524 condor   condor_procd -A /tmp/condor-lock.host_60.191183934294717/procd_pipe.STARTD -S 60 -C 1000
 0.0  1084  18324 - -      -  5161 condor   /bin/bash
 0.0  1044  18284 - -      -  4488 condor   -bash
 0.0  1036  18276 - -      -  6587 condor   -bash
 0.0  1036  18276 - -      -  6089 condor   -bash
 0.0   756  70288 - -      -  4487 condor   sshd: condor@pts/0
 0.0   700   9520 - -      -  6969 condor   /bin/bash /home/condor/cps210/monitor.sh
 0.0   608  70140 - -      -  6586 condor   sshd: condor@pts/3
 0.0   608  70140 - -      -  6584 root     sshd: condor [priv]
 0.0   608  70140 - -      -  6088 condor   sshd: condor@pts/2
 0.0   608  70140 - -      -  6086 root     sshd: condor [priv]
 0.0   608  70140 - -      -  4485 root     sshd: condor [priv]
 0.0   608  14892 - -      -  6984 condor   ps -eo pcpu,size,vsize,cutime,cstime,utime,pid,user,args
 0.0   560  48940 - -      -  2053 root     /usr/sbin/sshd
 0.0   520  31380 - -      -  6966 root     /USR/SBIN/CRON
 0.0   520  31380 - -      -  6959 root     /USR/SBIN/CRON
 0.0   520  31380 - -      -  6958 root     /USR/SBIN/CRON
 0.0   344  16732 - -      -   832 root     /sbin/udevd --daemon
 0.0   336   4104 - -      -     1 root     /sbin/init
 0.0   304   6488 - -      -  2011 root     dhclient3 -e IF_METRIC=100 -pf /var/run/dhclient.eth0.pid -lf /var/lib/dhcp3/dhclient.eth0.leases eth0
 0.0   292  14520 - -      -  1965 root     /usr/sbin/rpc.mountd --manage-gids
 0.0   288  18712 - -      -  4842 root     /usr/sbin/cron
 0.0   276   8204 - -      -  1878 root     /bin/dd bs 1 if /proc/kmsg of /var/run/klogd/kmsg
 0.0   276   8180 - -      -  1616 daemon   /sbin/portmap
 0.0   272  12376 - -      -  1860 syslog   /sbin/syslogd -u syslog
 0.0   272  10300 - -      -  1633 statd    /sbin/rpc.statd
 0.0   272   4024 - -      -  6981 root     /bin/sh -e /etc/update-motd.d//90-updates-available
 0.0   272   4024 - -      -  6967 condor   /bin/sh -c /home/condor/cps210/monitor.sh
 0.0   272   4024 - -      -  6963 root     /bin/sh -e /usr/sbin/update-motd
